destination,country/city
Denali,"USA,Alaska"
Julia Pfeiffer Burns State Park,"USA,California"
Fairview Inn,"USA,Alaska"
Fort Egbert,"USA,Alaska"
Aurora Ice Museum,"USA,Alaska"
Atigun Pass,"USA,Alaska"
Klondike Gold Rush National Historical Park Museum & Visitor Center,"USA,Alaska"
Sitka National Historical Park,"USA,Alaska"
End of the Road,"USA,Alaska"
Totem Historic District – Kasaan,"USA,Alaska"
Jilkaat Kwaan Cultural Heritage & Bald Eagle Preserve Visitor Center,"USA,Alaska"
North Boat Harbor,"USA,Alaska"
Alaska Sealife Center,"USA,Alaska"
Columbia Glacier,"USA,Alaska"
Angoon,"USA,Alaska"
Small-boat Harbor,"USA,Alaska"
Outside Beach,"USA,Alaska"
Alyeska Resort Tram,"USA,Alaska"
Pratt Museum,"USA,Alaska"
Museum of the Aleutians,"USA,Alaska"
Independence Mine State Historical Park,"USA,Alaska"
Kenai National Wildlife Refuge Headquarters & Visitor Center,"USA,Alaska"
Kennedy Space Center,North America
Peterson Bay Field Station,"USA,Alaska"
Hope-Sunrise Mining Museum,"USA,Alaska"
Alutiiq Museum & Archaeological Repository,"USA,Alaska"
Mendenhall Glacier,USA
Cuadrángulo de las Monjas,"Mexico,Yucatán Peninsula"
Templo & Exconvento de Los Santos Reyes,"Mexico,Yucatán Peninsula"
Casa de los Venados,"Mexico,Yucatán Peninsula"
Gran Museo del Mundo Maya,"Mexico,Yucatán Peninsula"
Labná,"Mexico,Yucatán Peninsula"
El Castillo,"Mexico,Yucatán Peninsula"
Reserva de la Biosfera Ría Celestún,"Mexico,Yucatán Peninsula"
Iglesia de San Antonio de Padua,"Mexico,Yucatán Peninsula"
Convento de San Antonio de Padua,"Mexico,Yucatán Peninsula"
Jardín Botánico Dr Alfredo Barrera Marín,"Mexico,Yucatán Peninsula"
Punta Esmeralda,"Mexico,Yucatán Peninsula"
X'Canché Cenote,"Mexico,Yucatán Peninsula"
Fort,"Mexico,Yucatán Peninsula"
Punta Mosquito,"Mexico,Yucatán Peninsula"
Playa Garrafón,"Mexico,Yucatán Peninsula"
El Cielo,Mexico
Tulum Ruins,"Mexico,Yucatán Peninsula"
Chichén Itzá,"Mexico,Yucatán Peninsula"
Dzibanché,"Mexico,Yucatán Peninsula"
Cobá Ruins,"Mexico,Yucatán Peninsula"
Síijil Noh Há,"Mexico,Yucatán Peninsula"
Laguna Milagros,"Mexico,Yucatán Peninsula"
Xpuhil,"Mexico,Yucatán Peninsula"
Edzná,"Mexico,Yucatán Peninsula"
Morelia Cathedral,"Mexico,Western Central Highlands"
Museo Arqueológico de Campeche & Fuerte de San Miguel,"Mexico,Yucatán Peninsula"
Reserva de la Biósfera Santuario Mariposa Monarca,"Mexico,Western Central Highlands"
Tingambato Archaeological Site,"Mexico,Western Central Highlands"
Volcán Paricutín,"Mexico,Western Central Highlands"
Instituto Cultural de Cabañas,"Mexico,Western Central Highlands"
Isla de Mezcala,"Mexico,Western Central Highlands"
Cosmovitral Jardín Botánico,"Mexico,West of Mexico City"
Volcán Nevado de Colima,"Mexico,Western Central Highlands"
El Tépalo Waterfall,"Mexico,Western Central Highlands"
Parque-Museo La Venta,Mexico
Museo de Artes e Industrias Populares,"Mexico,Western Central Highlands"
Museo Regional de Historia de Colima,"Mexico,Western Central Highlands"
Aztec Temples,"Mexico,West of Mexico City"
Museo de Tapachula,"Mexico,Chiapas"
Comalcalco,Mexico
Grutas del Coconá,Mexico
Cosmovitral Jardín Botánico,Mexico
Centro Ecoturístico Santo Domingo,"Mexico,Chiapas"
Na Bolom,"Mexico,Chiapas"
Toniná,"Mexico,Chiapas"
Templo de las Inscripciones Group,"Mexico,Chiapas"
Zoológico Miguel Álvarez del Toro,"Mexico,Chiapas"
Cañón del Sumidero,"Mexico,Chiapas"
Emiliano Zapata,"Mexico,Chiapas"
Agua Azul,"Mexico,Chiapas"
Pirámide de Tepozteco,"Mexico,South of Mexico City"
Museo Arqueológico de Comitán,"Mexico,Chiapas"
Museo Robert Brady,"Mexico,South of Mexico City"
Templo de Santa Prisca,"Mexico,South of Mexico City"
Museo de la Cuenca del Usumacinta,"Mexico,Chiapas"
Centro Cultural Comunitario de Teotitlán del Valle,"Mexico,Oaxaca"
Mineral Springs,"Mexico,Oaxaca"
Zona Arqueológica de Mitla,"Mexico,Oaxaca"
Ex-Cuartel General de Zapata,"Mexico,South of Mexico City"
Monte Albán Ruins,"Mexico,Oaxaca"
Edificio de los Danzantes,"Mexico,Oaxaca"
Museo Robert Brady,Mexico
Templo de Santo Tomás,"Mexico,Oaxaca"
Playa La Boquilla,"Mexico,Oaxaca"
Playa Zipolite,"Mexico,Oaxaca"
Punta Cometa,"Mexico,Oaxaca"
Cocodrilario de Chacahua,"Mexico,Oaxaca"
Playa Salchi,"Mexico,Oaxaca"
Museo de las Culturas de Oaxaca,"Mexico,Oaxaca"
Parque la Colorada,"Mexico,Northwest Mexico"
Museo de las Culturas de Oaxaca,Mexico
Reserva de la Biosfera El Pinacate y Gran Desierto de Altar,"Mexico,Northwest Mexico"
Isla del Tiburón,"Mexico,Northwest Mexico"
Guiengola,"Mexico,Oaxaca"
Trapiche,"Mexico,Northwest Mexico"
Reserva de la Biosfera El Pinacate y Gran Desierto de Altar,Mexico
Museo Rafael Coronel,"Mexico,Northern Central Highlands"
Playa Los Algodones,"Mexico,Northwest Mexico"
Museo de Batopilas,Mexico
Museo de Arte Popular de Chihuahua,Mexico
Museo Federico Silva,"Mexico,Northern Central Highlands"
Templo de la Purísima Concepción,"Mexico,Northern Central Highlands"
Teatro Hinojosa,"Mexico,Northern Central Highlands"
MUCAL,"Mexico,Northern Central Highlands"
Museo Histórico de San Miguel de Allende,"Mexico,Northern Central Highlands"
Parroquia de Nuestra Señora de Dolores,"Mexico,Northern Central Highlands"
Las Pozas,"Mexico,Northern Central Highlands"
Museo y Casa de Diego Rivera,"Mexico,Northern Central Highlands"
Plaza Miguel Hidalgo,"Mexico,Northern Central Highlands"
Museo Nacional de la Muerte,"Mexico,Northern Central Highlands"
Horno3,"Mexico,Northeast Mexico"
Zona Arqueológica de Tula,"Mexico,North of Mexico City"
Museo Nacional del Virreinato,"Mexico,North of Mexico City"
Pirámide del Sol,"Mexico,North of Mexico City"
Cañada de la Virgen,"Mexico,Northern Central Highlands"
Área de Protección de Flora y Fauna Cuatrociénegas,"Mexico,Northeast Mexico"
Cuartel del Arte,"Mexico,North of Mexico City"
Viñedos Don Leo,"Mexico,Northeast Mexico"
Museo Nacional de Antropología,Mexico
Museo Internacional del Barroco,"Mexico,East of Mexico City"
Zona Arqueológica,"Mexico,East of Mexico City"
Peña del Cuervo Mirador,"Mexico,North of Mexico City"
Museo de las Aves de México,"Mexico,Northeast Mexico"
Palacio de Gobierno,"Mexico,East of Mexico City"
Playa Las Gatas,"Mexico,Central Pacific Coast"
Museo Regional de Nayarit,"Mexico,Central Pacific Coast"
El Refugio de Potosí,"Mexico,Central Pacific Coast"
Yohualichán,"Mexico,East of Mexico City"
Cacaxtla,"Mexico,East of Mexico City"
Playa Los Muertos,"Mexico,Central Pacific Coast"
Yelapa,Mexico
Playa Las Islitas,"Mexico,Central Pacific Coast"
Playa La Boquita,"Mexico,Central Pacific Coast"
Isla Ixtapa,"Mexico,Central Pacific Coast"
Old Mazatlán,"Mexico,Central Pacific Coast"
Museo del Origen,"Mexico,Central Pacific Coast"
El Tortugario,"Mexico,Central Pacific Coast"
Clavadistas de la Quebrada,"Mexico,Central Pacific Coast"
Museo Mina La Prieta,"Mexico,Chihuahua & Central North Mexico"
Museo de la Ciudad 450,"Mexico,Chihuahua & Central North Mexico"
Villin Montalio,"Mexico,Veracruz"
Clavadistas de la Quebrada,Mexico
Museo Menonita,"Mexico,Chihuahua & Central North Mexico"
Paquimé,"Mexico,Chihuahua & Central North Mexico"
Basílica del Carmen,"Mexico,Veracruz"
Casa Chihuahua,"Mexico,Chihuahua & Central North Mexico"
Museo de Sitio de Tres Zapotes,"Mexico,Veracruz"
Salto de Eyipantla,"Mexico,Veracruz"
Museo de la Ciudad Teodoro Cano,"Mexico,Veracruz"
Museo de Antropología,"Mexico,Veracruz"
Museo de la Amistad México-Cuba,"Mexico,Veracruz"
El Tajín,"Mexico,Veracruz"
Museo del Café Córdoba,"Mexico,Veracruz"
El Tajín,Mexico
Zócalo,"Mexico,Veracruz"
Centro Cultural,"Mexico,Baja California"
Teleférico de Orizaba,"Mexico,Veracruz"
Iglesia Santa Bárbara,"Mexico,Baja California"
Espíritu Santo,"Mexico,Baja California"
Iglesia San José,"Mexico,Baja California"
Bahía Concepción,"Mexico,Baja California"
Land’s End,"Mexico,Baja California"
Yaxchilán,North America
Parque de la Amistad,Mexico
Misión San Ignacio de Kadakaamán,"Mexico,Baja California"
Riviera del Pacífico,"Mexico,Baja California"
MacBride Museum of Yukon History,"Canada,Yukon Territory"
Catedral de Nuestra Señora de Guadalupe,"Mexico,Baja California"
Klondike National Historic Sites,"Canada,Yukon Territory"
Meewasin Valley,"Canada,Saskatchewan"
Empress of Ireland Museum,"Canada,Québec"
Klondike National Historic Sites,Canada
Royal Saskatchewan Museum,"Canada,Saskatchewan"
Parc Marin du Saguenay–St-Laurent,"Canada,Québec"
Parc des Chutes,"Canada,Québec"
Le Château Frontenac,Canada
Parc National du Fjord-du-Saguenay,"Canada,Québec"
Bishop's University,"Canada,Québec"
La Pulperie,"Canada,Québec"
La Domaine Joly de Lotbinière,"Canada,Québec"
Tunnels of Moose Jaw,"Canada,Saskatchewan"
Île Grande Basque,"Canada,Québec"
Musée des Beaux-Arts de Montréal,Canada
Parc National des Grands Jardins,"Canada,Québec"
Parc National de la Mauricie,"Canada,Québec"
Parc National de l'Île-Bonaventure-et-du-Rocher-Percé,"Canada,Québec"
Parc National des Hautes Gorges de la Rivière Malbaie,"Canada,Québec"
Abbaye St-Benoît-du-Lac,"Canada,Québec"
Cidrerie et Vergers Pedneault,"Canada,Québec"
St Lawrence Market Complex,Canada
Ska-Nah-Doht Village & Museum,"Canada,Ontario"
Maisons de Bouteilles,"Canada,Prince Edward Island"
Avon River,"Canada,Ontario"
St Jacobs Farmers Market,"Canada,Ontario"
Point Prim Lighthouse,"Canada,Prince Edward Island"
Uncle Tom's Cabin Historic Site,"Canada,Ontario"
Royal Botanical Gardens,"Canada,Ontario"
National Gallery of Canada,"Canada,Ontario"
Polar Bear Habitat & Heritage Village,"Canada,Ontario"
Guelph Civic Museum,"Canada,Ontario"
Sault Ste Marie Canal National Historic Site,"Canada,Ontario"
Magpie High Falls,"Canada,Ontario"
Stratus,"Canada,Ontario"
Lake Nipissing Waterfront,"Canada,Ontario"
Science North,"Canada,Ontario"
Fort William Historical Park,"Canada,Ontario"
Horseshoe Falls,"Canada,Ontario"
Tawse Winery,"Canada,Ontario"
Collingwood Museum,"Canada,Ontario"
Stockey Centre & Bobby Orr Hall of Fame,"Canada,Ontario"
Bruce County Museum,"Canada,Ontario"
Huronia Museum,"Canada,Ontario"
Grey Roots Museum & Archives,"Canada,Ontario"
Leacock Museum National Historic Site,"Canada,Ontario"
Perivale Gallery,"Canada,Ontario"
Bracebridge Falls,"Canada,Ontario"
Fort Henry National Historic Site,"Canada,Ontario"
Matchbox Gallery,"Canada,Nunavut"
Experience Akwesasne Welcome Centre,"Canada,Ontario"
Uqqurmiut Centre for Arts & Crafts,"Canada,Nunavut"
Kenojuak Cultural Centre & Print Shop,"Canada,Nunavut"
Northumberland Fisheries Museum,"Canada,Nova Scotia"
Fisheries Museum of the Atlantic,"Canada,Nova Scotia"
Canadian Museum of Immigration at Pier 21,"Canada,Nova Scotia"
St Francis Xavier University,"Canada,Nova Scotia"
Cape Breton Miners' Museum,"Canada,Nova Scotia"
Rossignol Cultural Centre,"Canada,Nova Scotia"
Prince of Wales Northern Heritage Centre,"Canada,Northwest Territories"
Grand Pré National Historic Site,"Canada,Nova Scotia"
Victoria Park,"Canada,Nova Scotia"
Admiral Digby Museum,"Canada,Nova Scotia"
Ivvavik National Park,"Canada,Northwest Territories"
Vale Island,"Canada,Northwest Territories"
Norman Wells Historical Centre,"Canada,Northwest Territories"
Signal Hill National Historic Site,Canada
Captain James Cook Monument,Canada
Pelican Rapids,"Canada,Northwest Territories"
OSC Gallery,"Canada,Northwest Territories"
Grand Bay West Beach,Canada
Prime Berth Fishing Museum,Canada
Fishing Point Park,Canada
Torngat Mountains National Park,Canada
Tablelands,Canada
Ministers Island,"Canada,New Brunswick"
Random Passage Site,Canada
Mary March Provincial Museum,Canada
Kings Landing,"Canada,New Brunswick"
Kings Landing,Canada
Chocolate Museum & Shop,"Canada,New Brunswick"
Middle Island,"Canada,New Brunswick"
Magnetic Hill,"Canada,New Brunswick"
Itsanitaq Museum,"Canada,Manitoba"
Audain Art Museum,"Canada,British Columbia"
Acadian Historic Village,"Canada,New Brunswick"
Ucluelet Aquarium,"Canada,British Columbia"
Canadian Museum for Human Rights,"Canada,Manitoba"
Royal BC Museum,"Canada,British Columbia"
Stanley Park,Canada
Nanaimo Museum,"Canada,British Columbia"
Alberni Valley Museum,"Canada,British Columbia"
Storey Beach,"Canada,British Columbia"
North Pacific Cannery National Historic Site,"Canada,British Columbia"
Elk Falls Provincial Park,"Canada,British Columbia"
Northern Lights Estate Winery,"Canada,British Columbia"
Fernie Museum,"Canada,British Columbia"
Touchstones Nelson Museum of Art & History,"Canada,British Columbia"
Northern Lights Wolf Centre,"Canada,British Columbia"
Sea Star Vineyards,"Canada,British Columbia"
Farmers Market,"Canada,British Columbia"
Planet Bee Honey Farm & Meadery,"Canada,British Columbia"
SS Sicamous Heritage Park,"Canada,British Columbia"
Tweedsmuir Provincial Park,"Canada,British Columbia"
Riverside Park,"Canada,British Columbia"
Osoyoos Desert Centre,"Canada,British Columbia"
Kelowna City Park,"Canada,British Columbia"
Cameron Lake,"Canada,Alberta"
Royal Tyrrell Museum of Palaeontology,"Canada,Alberta"
National Music Centre,"Canada,Alberta"
Moraine Lake,"Canada,Alberta"
Big Head,"Canada,Alberta"
Whyte Museum of the Canadian Rockies,"Canada,Alberta"
Nahanni National Park Reserve,North America
Alberta Birds of Prey Foundation,"Canada,Alberta"
Art Gallery of Alberta,"Canada,Alberta"
Umm Al Quwain Museum,United Arab Emirates
Jebel Jais,United Arab Emirates
Ajman Museum,United Arab Emirates
Fujairah Museum,"United Arab Emirates,Fujairah & the Eastern Coast"
Al Badiyah Mosque,United Arab Emirates
Jebel Hafeet,United Arab Emirates
Burj Al Arab,United Arab Emirates
Hatta Dam,United Arab Emirates
Sharjah Art Museum,United Arab Emirates
Sheikh Zayed Grand Mosque,United Arab Emirates
Historic Yanbu & Port,"Saudi Arabia,Hejaz"
Masmak Fortress,Saudi Arabia
Al Shafee Mosque,"Saudi Arabia,Hejaz"
Prophet’s Mosque,Middle East
Al Ula Viewpoint,"Saudi Arabia,Northern Saudi Arabia"
Souq Waqif,Middle East
Fatah Al Khair,"Oman,Eastern Coast"
Taif Souq,"Saudi Arabia,Hejaz"
Souq Waqif,Qatar
Al Ula Viewpoint,Saudi Arabia
Ras Abu Ar Rasas,"Oman,Eastern Coast"
Ras Al Jinz Museum,"Oman,Eastern Coast"
Khasab Fort,"Oman,Musandam"
Mutrah Souq,Oman
Al Baleed Archaeological Park,"Oman,Dhofar"
Nizwa Fort,"Oman,Hajar Mountains"
Ibra Old Quarter,"Oman,Eastern Coast"
Mutrah Souq,Middle East
Diana's Viewpoint,"Oman,Hajar Mountains"
Al Bass Archaeological Site,"Lebanon,Southern Lebanon"
Sohar Fort,"Oman,Batinah Plain"
Saida Souq,"Lebanon,Southern Lebanon"
Shouf Biosphere Reserve,"Lebanon,Southern Lebanon"
Crusader Castle,Lebanon
Tareq Rajab Museum,Kuwait
Tareq Rajab Museum,Middle East
Bayt Nua’man,"Oman,Batinah Plain"
Temple of Bacchus,Middle East
Shaumari Wildlife Reserve,"Jordan,Eastern Desert"
Amman Beach,"Jordan,Dead Sea Highway"
Spring of John the Baptist,"Jordan,Dead Sea Highway"
Shouf Biosphere Reserve,Lebanon
National Museum of Beirut,Lebanon
Amman Beach,Jordan
Aqaba Bird Observatory,"Jordan,Southern Jordan"
Burdah Rock Bridge,"Jordan,Southern Jordan"
Dana Biosphere Reserve,"Jordan,Central Jordan"
Burdah Rock Bridge,Jordan
St George’s Church & Mosaic Map,"Jordan,Central Jordan"
Karak Castle,"Jordan,Central Jordan"
Shaumari Wildlife Reserve,Jordan
Temple of Artemis,"Jordan,Northwestern Jordan"
Dar As Saraya Museum,"Jordan,Northwestern Jordan"
Petra,Middle East
Hisham’s Palace,"Israel & the Palestinian Territories,West Bank"
Dana Biosphere Reserve,Jordan
Makhtesh Ramon Nature Reserve,"Israel & the Palestinian Territories,The Negev"
Mar Saba Monastery,"Israel & the Palestinian Territories,West Bank"
Coral Beach Nature Reserve,"Israel & the Palestinian Territories,The Negev"
Mar Saba Monastery,Israel & the Palestinian Territories
Netanya Beach,Israel & the Palestinian Territories
Baha’i Gardens,"Israel & the Palestinian Territories,North Coast"
Tel Aviv Museum of Art,Israel & the Palestinian Territories
Samaritan Ruins,"Israel & the Palestinian Territories,West Bank"
Citadel,Jordan
Baha’i Gardens,Israel & the Palestinian Territories
Tel Be’er Sheva,"Israel & the Palestinian Territories,The Negev"
Knights' Halls,"Israel & the Palestinian Territories,North Coast"
Hai-Bar Yotvata Nature Reserve,Israel & the Palestinian Territories
Church of the Holy Sepulchre,Israel & the Palestinian Territories
Mount of the Beatitudes,Israel & the Palestinian Territories
Masada National Park,"Israel & the Palestinian Territories,Dead Sea"
Masada National Park,Israel & the Palestinian Territories
Caesarea National Park,"Israel & the Palestinian Territories,North Coast"
Tomb of Rabbi Meir Ba’al HaNess,Israel & the Palestinian Territories
Church of the Holy Sepulchre,Middle East
Caro Synagogue,Israel & the Palestinian Territories
Basilica of the Annunciation,Israel & the Palestinian Territories
Taq-e Bustan,"Iran,Western Iran"
Qal'eh Rudkhan,"Iran,Western Iran"
Harireh,"Iran,Persian Gulf"
Sa'd-al Saltaneh Caravanserai,"Iran,Western Iran"
Falak-Ol-Aflak,"Iran,Western Iran"
Ali Sadr Caves,"Iran,Western Iran"
Tabriz Bazaar,"Iran,Western Iran"
Haram-e Razavi,"Iran,Northeastern Iran"
Bazar-e Sartasari,"Iran,Southeastern Iran"
Fish Market,"Iran,Persian Gulf"
Apadana Staircase,"Iran,Central Iran"
Masjed-e Jameh,"Iran,Central Iran"
Masjed-e Shah,"Iran,Central Iran"
Bagh-e Naranjestan,"Iran,Central Iran"
Masjed-e Shah,Middle East
Bahrain National Museum,Middle East
Bahrain National Museum,Bahrain
Bagh-e Fin,"Iran,Central Iran"
Dylan Thomas Centre,Wales
Chepstow Castle,"Wales,Southeast Wales"
Shire Hall,"Wales,Southeast Wales"
Castle House,Wales
Dylan Thomas Boathouse,Wales
Caldey Island,Wales
Castell Henllys,Wales
National Slate Museum,Wales
Haverfordwest Town Museum,Wales
Great Orme Bronze Age Mines,"Wales,Anglesey & the North Coast"
Strumble Head,Wales
Cardigan Castle,Wales
South Stack Cliffs RSPB Reserve,"Wales,Anglesey & the North Coast"
Beaumaris Castle,"Wales,Anglesey & the North Coast"
Mawddach Estuary,Wales
Conwy Castle,"Wales,Anglesey & the North Coast"
Sygun Copper Mine,Wales
Centre for Alternative Technology,"Wales,Mid-Wales"
Gwydyr Forest,Wales
St Mary's Priory Church,Wales
Llyn Tegid,Wales
Cardiff Castle,Wales
Barmouth Bridge,Wales
St David's Cathedral,Europe
Llechwedd Slate Caverns,Wales
Lutsk Castle,"Ukraine,Western Ukraine"
Khortytsya Island,Ukraine
Korolyov Cosmonaut Museum,Ukraine
Uzhhorod Castle,Ukraine
Lychakivsky Cemetery,"Ukraine,Western Ukraine"
Cathedral of the Holy Resurrection,Ukraine
Penrhyn Castle,"Wales,Anglesey & the North Coast"
National Library of Wales,"Wales,Mid-Wales"
Sofiyivka Park,Ukraine
Artist Aleksandr Sharonov's Exhibition,Ukraine
Wehrwolf,Ukraine
Museum of Mountain Ecology,"Ukraine,The Carpathians"
Chernivtsi University,"Ukraine,The Carpathians"
Museum of Hutsul Folk Art,"Ukraine,The Carpathians"
Palanok Castle,"Ukraine,The Carpathians"
Dytynets,Ukraine
Korpusny Park,Ukraine
Taurida Central Museum,"Ukraine,Crimea"
Donbass Arena,Ukraine
St Sophia's Cathedral,Ukraine
Chufut-Kale,"Ukraine,Crimea"
Menorah Center,Ukraine
Prospekt Ayvazovskogo,"Ukraine,Crimea"
Lenin's Embankment,"Ukraine,Crimea"
Chufut-Kale,Ukraine
Primorsky Boulevard,"Ukraine,Crimea"
Cold War Museum,"Ukraine,Crimea"
Adzhimushkay Defence Museum,"Ukraine,Crimea"
Genovese Fortress,"Ukraine,Crimea"
St Sophia's Cathedral,Europe
Van Castle & Old Van,Turkey
Aya Sofya Camii,"Turkey,Black Sea Coast"
Jewish Cemetery,Ukraine
Çifte Minareli Medrese,Turkey
İshak Paşa Palace,Turkey
Bazaar,Turkey
City Walls & Gates,Turkey
Kars Castle,Turkey
Ölüdeniz Beach & Lagoon,"Turkey,Turquoise Coast"
Ancient Patara,"Turkey,Turquoise Coast"
Temples of Apollo & Athena,"Turkey,Turquoise Coast"
Fethiye Museum,"Turkey,Turquoise Coast"
Kaleiçi,"Turkey,Turquoise Coast"
İztuzu Beach,"Turkey,Turquoise Coast"
Köyceğiz Waterfall,"Turkey,Turquoise Coast"
Marmaris Castle & Museum,Turkey
Kaputaş Beach,"Turkey,Turquoise Coast"
Kaleiçi,Turkey
Şifaiye Medresesi,"Turkey,Central Anatolia"
Eski Çarşı,"Turkey,Central Anatolia"
Mevlâna Museum,"Turkey,Central Anatolia"
Liman Ağzı,"Turkey,Turquoise Coast"
Nemrut Dağı Summit,Turkey
Gaziantep Zeugma Mosaic Museum,Turkey
Museum of Anatolian Civilisations,"Turkey,Central Anatolia"
Museum of Anatolian Civilisations,Turkey
Tombs of the Pontic Kings,"Turkey,Central Anatolia"
Alanya Castle,Turkey
Güllüdere (Rose) Valley,Turkey
Topkapı Palace,Turkey
Old Village,"Turkey,Cappadocia"
Çeşme Museum,Turkey
Özkonak Underground City,"Turkey,Cappadocia"
Kuşadası Castle,"Turkey,South Aegean"
Museum of Seljuk Civilisation,"Turkey,Cappadocia"
Dardanelles Straits Naval Command Museum,Turkey
Güllüdere (Rose) Valley,"Turkey,Cappadocia"
Muradiye Complex,Turkey
İzmir Museum of History & Art,Turkey
Mausoleum,"Turkey,South Aegean"
Ayasuluk Fortress,"Turkey,South Aegean"
Rijksmuseum van Oudheden,"The Netherlands,South Holland"
Temple of Athena,Turkey
Ephesus,"Turkey,South Aegean"
Mauritshuis,"The Netherlands,South Holland"
Texel Dunes National Park,The Netherlands
Grand Grève,The Channel Islands
Van Nelle Fabriek,Europe
Vermeer Centrum Delft,"The Netherlands,South Holland"
Jersey War Tunnels,The Channel Islands
Abdij,"The Netherlands,Zeeland"
Frans Hals Museum – Hof,The Netherlands
Lighthouse,The Netherlands
Rijksmuseum,The Netherlands
Museo d'Arte della Svizzera Italiana,"Switzerland,Ticino"
Shell Beach,The Channel Islands
Jersey War Tunnels,Europe
Matterhorn Glacier Paradise,"Switzerland,Valais"
Santuario della Madonna del Sasso,"Switzerland,Ticino"
Château de Chillon,"Switzerland,Lake Geneva & Vaud"
AQUATIS Aquarium & Vivarium,"Switzerland,Lake Geneva & Vaud"
Stiftsbibliothek,Europe
Laténium,Switzerland
Segantini Museum,"Switzerland,Graubünden"
Jet d'Eau,Switzerland
Tiveden National Park,"Sweden,Central Sweden"
Bernatone Alphornbau,Switzerland
Smålands Museum,"Sweden,Småland"
Falu Gruva,"Sweden,Central Sweden"
Kungliga Slottet,Sweden
Zorngården,"Sweden,Central Sweden"
Kalmar Slott,"Sweden,Småland"
Munthe’s Hildasholm,"Sweden,Central Sweden"
Kosta Glassworks,"Sweden,Småland"
Sammlung Rosengart,"Switzerland,Central Switzerland"
Malmö Museer,"Sweden,Skåne"
Gamla Uppsala,"Sweden,Central Sweden"
Västerbottens Museum,Sweden
Fredriksdal museer och trädgårdar,"Sweden,Skåne"
Lunds domkyrka,"Sweden,Skåne"
Stenstan Visitor Centre,Sweden
Röda Sten Konsthall,Sweden
Aurora Sky Station,Sweden
Kabinbanan,Sweden
Kungliga Slottet,Europe
Museo de Arte Contemporáneo de Alicante,"Spain,Valencia Region"
LKAB Iron-Ore Mine,Sweden
Plaza Mayor,"Spain,Extremadura"
Catedral de Tarragona,"Spain,Catalonia"
Catedral de Girona,"Spain,Catalonia"
Arbetets Museum,Sweden
Ekenäs Slott,Sweden
La Sagrada Família,Spain
Teatro Romano,"Spain,Extremadura"
Catedral de Toledo,"Spain,Castilla-La Mancha"
Museo de Arte Abstracto Español,"Spain,Castilla-La Mancha"
Palacio de los Golfines de Abajo,"Spain,Extremadura"
Murallas,"Spain,Castilla y León"
Catedral,"Spain,Castilla y León"
Universidad Civil,"Spain,Castilla y León"
Centro Botín,Spain
Basílica de Nuestra Señora del Pilar,Spain
Acueducto,"Spain,Castilla y León"
Catedral de Toledo,Spain
Basílica de Nuestra Señora del Pilar,"Spain,Aragón"
Aquarium,Spain
Real Alcázar,Spain
Alhambra,Spain
Catedral de Cádiz,"Spain,Andalucía"
Alhambra,Europe
Beekeeping Museum,Slovenia
Plaza de Toros,"Spain,Andalucía"
Parque Natural de Cabo de Gata-Níjar,"Spain,Andalucía"
Old Vine,Slovenia
Church of St Kancijan,Slovenia
Postojna Cave,"Slovenia,Slovenian Karst"
Slovenian Alpine Museum,Slovenia
Titov Trg,Slovenia
Church of St John the Baptist,Slovenia
Boka Waterfall,Slovenia
Ljubljana Castle,Slovenia
Vintgar Gorge,Slovenia
Lake Cerknica,Slovenia
Church of the Holy Trinity,Europe
Trenčín Castle,"Slovakia,Western Slovakia"
Danubiana Meulensteen Art Museum,Slovakia
Spiš Castle,"Slovakia,Eastern Slovakia"
Celje Regional Museum,Slovenia
Church of Mariánska Hora,"Slovakia,Eastern Slovakia"
Slovenský Raj National Park,"Slovakia,Eastern Slovakia"
Cathedral of St Elizabeth,"Slovakia,Eastern Slovakia"
Municipal Museum,Slovenia
Red Monastery,"Slovakia,Eastern Slovakia"
Burian's Tower,"Slovakia,Central Slovakia"
Wooden Church,"Slovakia,Eastern Slovakia"
Synagogue,"Serbia,Vojvodina"
Museum of City History,Slovakia
Basilica of St Egídius,"Slovakia,Eastern Slovakia"
Spiš Castle,Slovakia
Petrovaradin Fortress,"Serbia,Vojvodina"
Vrátna Valley,"Slovakia,Central Slovakia"
Orava Castle,Slovakia
Petrovaradin Fortress,Serbia
Orthodox Cathedral,Serbia
Uvac Canyon,Serbia
Patriarchate of Peć,Kosovo
Emin Gjiku Ethnographic Museum,Kosovo
Spiš Castle,Europe
Sopoćani Monastery,"Serbia,Western & Central Serbia"
Sirogojno Open-Air Museum,"Serbia,Western & Central Serbia"
Visoki Dečani Monastery,Europe
Belgrade Fortress,Serbia
Belgrade Fortress,Europe
Prizren Fortress,Kosovo
Ness Islands,Scotland
Urquhart Castle,Scotland
Abbotsford,Scotland
Glencoe Visitor Centre,Scotland
Loch Ness Centre & Exhibition,Scotland
Caledonian Canal,Scotland
Shetland Museum,Scotland
Highland Folk Museum,Scotland
Luskentyre,"Scotland,Northern Highlands & Islands"
Noltland Castle,Scotland
Lews Castle,"Scotland,Northern Highlands & Islands"
St Magnus Cathedral,Scotland
Stromness Museum,Scotland
Arnol Blackhouse,"Scotland,Northern Highlands & Islands"
Midhowe Cairn & Broch,Scotland
Ullapool Museum,"Scotland,Northern Highlands & Islands"
Aros Centre,"Scotland,Northern Highlands & Islands"
Caithness Horizons,"Scotland,Northern Highlands & Islands"
